,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
2,16,0.929,18,8.2,1240,610,,5.37,,,,
3,17,0.47,19,8.3,1630,810,1.8,4.3,,,147,156
4,11.9,0.47,13,8.1,1000,490,18,5.3,,41.2,94,78
5,11.9,0.47,13,8.2,1000,490,18,4.67,,38.9,86,82
6,11.9,0.47,13,8.3,1350,670,0.1,7.01,,30.7,200,117
7,11.9,0.47,13,8.5,1350,660,0.1,7.23,,25.6,196,117
8,11.9,0.47,13,8.2,1200,590,26,5.44,,24.6,151,109
9,11.9,0.47,12.9,8.2,1220,600,26,5.34,,24,151,113
10,11.9,0.47,12.8,8,1260,620,36,2.24,,21,139,113
11,11.9,0.47,12.9,8,1260,620,36,1.95,,21.5,139,113
12,10.4,0.87,13.9,8.2,1250,620,28,4.55,,60.5,102,121
13,10.4,0.87,13.8,8.1,1220,600,28,4.47,,118,102,121
14,10.4,0.87,13.2,8.3,1460,720,56,5.81,,51.1,204,129
15,10.4,0.87,13.2,8.3,1410,700,56,5.77,,55.8,200,133
16,10.4,0.87,14.4,8.1,1280,630,36,2.66,,56.8,130,109
17,10.4,0.87,14.1,8.1,1290,640,36,3.38,,52.8,122,113
18,10.4,0.87,14.6,8.2,930,460,0.1,5.88,,5.16,204,59
19,10.4,0.87,14.8,8.2,940,460,0.1,6.02,,127,208,63
20,10.4,0.87,14.3,8.1,1230,610,24,2.93,,57.9,159,102
21,10.4,0.87,14.4,8.1,1290,640,24,3.48,,53.9,163,102
22,18.2,0.77,15.3,7.8,1280,630,110,2.03,,622,106,128
23,18.2,0.77,15.3,8,1290,630,110,1.94,,397,106,126
24,18.2,0.77,15.2,8.3,1370,680,28,5.07,,55.1,179,124
25,18.2,0.77,15.1,8.4,1400,680,28,4.51,,46.7,167,126
26,18.2,0.77,15.4,8,1480,700,36,1.57,,58.7,151,128
27,18.2,0.77,15.2,8,1430,710,36,1.52,,78.3,147,130
28,18.2,0.77,15.2,8.3,990,490,0.1,5.3,,2.68,212,64
29,18.2,0.77,15,8.3,970,480,0.1,5.53,,3.4,204,64
30,18.2,0.77,15.4,8,1330,660,42,1.8,,88.5,155,105
31,18.2,0.77,15.5,8,1290,640,42,1.83,,59.8,163,107
32,14.4,0.4,15.6,8.3,1240,610,40,4.59,,40.8,110,99
33,14.4,0.4,16.1,8.2,1240,610,40,4.32,,44.8,106,99
34,14.4,0.4,17.1,8.5,1480,730,70,7.65,,247,179,141
35,14.4,0.4,16.9,8.4,1470,730,70,7.05,,362,188,140
36,14.4,0.4,16.6,8.1,1310,650,46,1.68,,91.5,135,116
37,14.4,0.4,16.6,8.1,1360,670,46,2.4,,133,135,114
38,14.4,0.4,16.8,8.3,990,490,0.1,5.89,,2.77,212,64
39,14.4,0.4,16.8,8.3,1000,490,0.1,6.14,,3.59,204,66
40,14.4,0.4,17.9,8.2,1340,660,32,1.76,,48.6,147,109
41,14.4,0.4,16.7,8.1,1330,660,32,1.75,,47,151,107
42,18,0.6,17.75,7.9,1210,600,92,1.79,27.5,1000,114,97
43,18,0.6,18.05,7.7,1170,580,92,1.35,27.5,1000,114,95
44,18,0.6,18.15,8.1,1000,490,50,4.97,27.5,238,135,79
45,18,0.6,18.15,8.1,1000,490,50,3.12,27.5,351,139,81
46,18,0.6,18.2,8.2,1310,640,64,1.71,47.5,95.6,135,120
47,18,0.6,18.1,8.1,1320,650,64,0.97,47.5,109,130,116
48,18,0.6,18.4,8,750,370,26,4.65,25,11.6,155,50
49,18,0.6,18.35,8,750,370,26,4.84,25,13.5,159,48
50,18,0.6,18.35,8.1,1350,670,56,1.29,35,93.8,143,118
51,18,0.6,18.4,8.1,1340,660,56,1.45,35,159,147,120
52,14.3,0.54,21,8.1,1370,680,56,3.6,25,199,106,118
53,14.3,0.54,25.5,8.1,1400,690,56,1.87,25,220,110,120
54,14.3,0.54,23.6,8.4,1330,660,,7.48,35,39.9,179,118
55,14.3,0.54,24.3,8.4,1390,690,,7.15,35,49.9,175,118
56,14.3,0.54,16.1,8.2,1220,600,76,2.27,47.5,114,155,114
57,14.3,0.54,28.1,8.1,1360,670,76,2.35,47.5,113,159,116
58,14.3,0.54,15.1,8.3,890,440,14,5.16,42.5,20,196,54
59,14.3,0.54,27.5,8.2,1000,490,14,5.27,42.5,46.5,192,56
60,14.3,0.54,20,8.1,1450,720,14,1.48,45,85.4,167,109
61,14.3,0.54,25.1,8.1,1370,680,14,1.32,45,123,163,112
62,26,0.87,18.1,7.2,1430,710,650,1.12,30,1000,147,
63,26,0.87,18.2,7.2,1450,720,650,0.85,30,1000,151,
64,26,0.87,18.1,8.4,1400,690,80,3.59,35,221,183,124
65,26,0.87,18.1,8.4,1370,680,80,3.46,35,437,179,124
66,26,0.87,18.3,8,1380,680,50,1.56,55,158,143,107
67,26,0.87,18.3,8,1340,660,50,2,55,209,147,107
68,26,0.87,18.3,8.2,1020,500,70,4.3,30,21.9,212,68
69,26,0.87,18.2,8.2,1040,510,70,4.02,30,65,216,70
70,26,0.87,18.2,8.1,1440,710,64,1.93,50,123,179,124
71,26,0.87,18.2,8.1,1450,720,64,1.84,50,148,175,120
72,13.4,0.56,16.8,8.1,1470,730,128,0.68,30,60.9,181,110
73,13.4,0.56,15.8,8.2,1460,720,128,0.73,30,53.4,181,110
74,13.4,0.56,16,8.6,1520,750,50,8.17,25,25.2,263,125
75,13.4,0.56,15.8,8.4,1480,730,50,9.12,25,29.4,263,125
76,13.4,0.56,15.4,8.3,1550,770,40,1.11,55,62.7,222,133
77,13.4,0.56,15.8,8.3,1510,750,40,0.73,55,67.4,222,133
78,13.4,0.56,15.6,8.2,1140,570,36,2.74,30,5.47,316,64
79,13.4,0.56,15.8,8.2,1150,560,36,2.44,30,22.7,316,64
